image_name,metadata
test_002572.jpg,"a plate of sushi with shrimp, shrimp, and other sushi"
test_020717.jpg,green peas
test_000665.jpg,a col of different types of food
test_026892.jpg,a plate with cupcakes on it
test_008680.jpg,"a plate of food with meat, vegetables and a lemon"
test_002313.jpg,a plate with a dessert on it
test_011821.jpg,a plate with french toast and strawberries on it
test_006906.jpg,a piece of meat on a piece of paper
test_008855.jpg,a bowl of soup
test_019761.jpg,a pot of stew with a spoon in it
test_021304.jpg,a plate of chicken with a side of green beans
test_018199.jpg,a table with a plate of food and a cup of coffee
test_024521.jpg,a sandwich with bacon and let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let
test_027621.jpg,a pile of ribs on a wooden table
test_006349.jpg,a box of colorful macaros
test_011729.jpg,a tray with food
test_026262.jpg,a plate with chicken and cran on it
test_012425.jpg,a bowl of salad with a fork and spoon
test_021764.jpg,a bowl of pasta with ham and ham
test_012402.jpg,a jar of blueberries and strawberries next to a bowl of strawberries
test_015694.jpg,two plates of chicken ravie with sauce and basil
test_022294.jpg,a bowl of yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo
test_021694.jpg,a plate of pasta with meat and vegetables
test_026017.jpg,a pan filled with fried fried fried fried fried fried fried fried fried fried fried fried fried fried fried fried fried
test_002368.jpg,a white plate topped with a salad
test_013536.jpg,a burritoa and a bag of chips
test_027529.jpg,a piece of cake on a plate
test_003040.jpg,a bowl of aspara and a bowl of eggs
test_018584.jpg,a plate with some food on it
test_013142.jpg,a cake on a glass cake stand
test_014449.jpg,the best fruit and nut bread ever
test_003816.jpg,buffalo buffalo wings recipe on a plate with ces and ces
test_020154.jpg,avocaoca with poachea and poachea
test_021479.jpg,shrimp pasta with garlic and parise
test_028224.jpg,a plate with a small pastry and a salad
test_001097.jpg,the menu for the restaurant
test_008665.jpg,a bowl of salad with a fork and a bowl of dressing
test_006314.jpg,a plate with a quesa and a bowl of salsa
test_003599.jpg,four different shots of food on a black surface
test_001471.jpg,"a breakfast sandwich with eggs, avoca, tomatoes and avoca"
test_024447.jpg,a plate of pasta with chicken and cheese
test_013095.jpg,scrambled benedict eggs with tomato salsa
test_005462.jpg,a plate of torta torta torta torta torta torta torta torta torta torta torta torta tor
test_019301.jpg,a cake with cherries on top
