audio,song_id,genre_id,genre,metadata,caption
"{'path': None, 'array': array([-6.10351562e-05, -6.10351562e-05, -3.05175781e-05, ...,
       -3.96728516e-04, -1.52587891e-04, -4.88281250e-04]), 'sampling_rate': 44100}",11483,9,International,"trombone, 117 bpm, Brass & Military, Marches, D, documentary","""Experience the resounding trombone set in D key, rhythmically propelling through a 117 BPM tempo. This Brass and Military-style march from our documentary fuels your imagination with its rich and rousing audioscape."""
"{'path': None, 'array': array([9.15527344e-05, 2.74658203e-04, 2.13623047e-04, ...,
       5.52368164e-03, 9.39941406e-03, 1.35498047e-02]), 'sampling_rate': 44100}",6824,9,International,"sampler, documentary, Funk / Soul, Neo Soul, 161 bpm, G","""Immerse yourself in the rhythmic pulse of this 161 bpm Neo Soul track, deeply infused with elements of Funk and Soul. It's set in the key of G, and its rich texture is akin to a sampler of iconic sounds."
"{'path': None, 'array': array([-0.00201416, -0.00152588, -0.00125122, ..., -0.1713562 ,
       -0.17202759, -0.16763306]), 'sampling_rate': 44100}",8361,8,Pop,"120 bpm, sampler, B, Funk / Soul, Swingbeat, documentary","""Immerse yourself in this vibrant audio experience, tuned to 120 beats per minute. This soundtrack incorporates a sampler, generating a rich tapestry of sounds that lean heavily into Funk and Soul genre. Crafted in the key of B, the"
"{'path': None, 'array': array([0.19265747, 0.20065308, 0.23135376, ..., 0.03961182, 0.05429077,
       0.07150269]), 'sampling_rate': 44100}",12269,9,International,"groovy, F#, Funk / Soul, Swingbeat, acousticbassguitar, 178 bpm","""Immerse yourself in the allure of groove-infused rhythms in this F# keyed, Funk/Soul track. Feel the rhythmic pulse of the acoustic bass guitar singing at a lively pace of 178 bpm, tastefully garnished with the"
"{'path': None, 'array': array([-0.0015564 , -0.00137329, -0.0012207 , ...,  0.00787354,
       -0.06430054, -0.046875  ]), 'sampling_rate': 44100}",1063,0,Electronic,"172 bpm, soundscape, Funk / Soul, Swingbeat, D, sampler","""Immerse yourself in the fluid soundscape of this musical masterpiece, masterfully constructed at every note. With a heart-pumping tempo of 172 beats per minute, this swingbeat-styled Funk/Soul track seamlessly merges the smooth and rhyth"
"{'path': None, 'array': array([-3.05175781e-04, -6.10351562e-05,  1.83105469e-04, ...,
       -2.73223877e-01, -2.99224854e-01, -2.61138916e-01]), 'sampling_rate': 44100}",11704,6,Chiptune / Glitch,"Funk / Soul, Neo Soul, D#, 71 bpm, documentary, sampler","""Immerse yourself in the groove of this Neo Soul track set in D# at a mellow tempo of 71 bpm. Exuding the essence of classic Funk/Soul, it provides the perfect soundtrack for your documentary. Discover a nuanced tape"
"{'path': None, 'array': array([-0.00134277, -0.00137329, -0.00137329, ...,  0.04476929,
        0.02999878,  0.01330566]), 'sampling_rate': 44100}",18506,8,Pop,"documentary, 120 bpm, C#, acousticbassguitar, Stage & Screen, Soundtrack","""Experience the captivating sway of a documentary soundtrack with 'Stage & Screen', set at a rhythmic 120 bpm. Featuring the distinctive tones of an acoustic bass guitar, this composition in key C# immerses you in the riveting world of"
"{'path': None, 'array': array([0.00167847, 0.00210571, 0.00180054, ..., 0.0513916 , 0.10580444,
       0.12890625]), 'sampling_rate': 44100}",6826,2,Punk,"Rock, Funeral Doom Metal, documentary, acousticguitar, E, 91 bpm","""Immerse yourself in the profound resonance of our E-tuned acoustic guitar, setting the mournful pace at 91 bpm, as we journey through the somber world of Funeral Doom Metal. This poignant rock documentary penetrates the depths of the"
"{'path': None, 'array': array([-0.0045166 , -0.00375366, -0.00354004, ...,  0.05703735,
       -0.00311279, -0.05657959]), 'sampling_rate': 44100}",24811,0,Electronic,"F, 129 bpm, sampler, Electronic, Acid House, groovy","""Immerse yourself in the dynamic world of Acid House with this groovy electronic track. Played at a catchy pace of 129 BPM, this composition skillfully employs a sampler to introduce captivating variations. Driven by the enthralling beat of"
"{'path': None, 'array': array([-2.44140625e-04, -9.15527344e-05, -1.52587891e-04, ...,
        2.09838867e-01,  1.91680908e-01,  1.51855469e-01]), 'sampling_rate': 44100}",5144,8,Pop,"Funk / Soul, Gospel, 167 bpm, A, adventure, acousticbassguitar","""Immerse yourself in the radiant vibes of this Funk/Soul track, layered with powerful gospel influences. With its adventurous arrangement, the song sweeps you away at a lively pace of 167 bpm. Richly arranged in the key of A,"
