image_name,caption,meaningful-caption
test_002572.jpg,"a plate of sushi with shrimp, shrimp, and other sushi","A vibrant display of culinary artistry featuring an assortment of sushi. Succulent shrimp and a variety of other sushi elements take center stage on this plate, providing a mouth-watering feast for the senses. The diverse textures and flavors of the seafood harmoniously"
test_020717.jpg,green peas,"These are fresh green peas, rich in both flavor and nutrients. Commonly used in a variety of dishes worldwide, they are not only delicious but also provide an excellent source of vitamin K, vitamin A and dietary fiber. A wonderful ingredient that brightens"
test_000665.jpg,a col of different types of food,"""A vibrant collage showcasing a variety of culinary delights. The display ranges from wholesome, nutritious fruits and vegetables with their rich, natural colours to mouth-watering baked goods, hot main course dishes and indulgent desserts. Each type of food represents the diversity and"
test_026892.jpg,a plate with cupcakes on it,"This delightful plate showcases a selection of delightfully decorated cupcakes. Each miniature dessert is artfully crafted, with luscious frosting swirled on top, promising a sweet and sensational bite. With sprinkles and tiny fancy embellishments, these cupcakes not"
test_008680.jpg,"a plate of food with meat, vegetables and a lemon","A succulent, well-seasoned piece of meat takes center stage on the plate, its juicy tenderness promising a savory delight. Surrounding it is a medley of vibrant, fresh vegetables, each one adding a splash of color and a unique flavor"
test_002313.jpg,a plate with a dessert on it,"""A decadently delightful dessert elegantly presented on an ornate plate, providing a temptation for both the eyes and the palate."""
test_011821.jpg,a plate with french toast and strawberries on it,"""An enticing plate presenting a delightful stack of golden-brown French toast, delicately dusted with powdered sugar. The toast is beautifully accompanied by vibrant, freshly sliced strawberries, adding a burst of color and a tantalizing tanginess that perfectly complements"
test_006906.jpg,a piece of meat on a piece of paper,"""A succulent, juicy piece of premium meat freshly prepared and displayed on a pristine white paper. The earthy tones of the meat contrast elegantly with the paper, promising a delightful culinary journey."""
test_008855.jpg,a bowl of soup,"A comforting bowl of soup, brimming with a medley of fresh vegetables and aromatic herbs. The broth appears warm and inviting, perfect for a chilly evening. The rich colors hint at the depth of flavor within, promising a satisfying and nourishing meal"
test_019761.jpg,a pot of stew with a spoon in it,"A comforting and hearty pot of stew, brimming with robust flavors and a medley of tender vegetables and succulent meat. The inviting spoon resting in the pot signifies its readiness to be served, delivering warmth and satisfaction in each flavorful spoonful. This"
test_021304.jpg,a plate of chicken with a side of green beans,"""An appetizing dish of tender, juicy chicken, cooked to golden-brown perfection, served alongside a generous helping of vibrant, fresh green beans. A feast for both the eyes and the palate, promoting well-balanced, nutritious eating."""
test_018199.jpg,a table with a plate of food and a cup of coffee,"This image showcases a meticulously laid out dining space, where a scrumptious plate of food plays the star. The meal, elegantly presented, is a harmony of tantalising flavours and appealing colours, promising a gastronomic delight. Beside it sits"
test_024521.jpg,a sandwich with bacon and let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let let,"Caption: A scrumptious sandwich loaded with crispy bacon and fresh lettuce, complemented by a tangy mayonnaise spread."
test_027621.jpg,a pile of ribs on a wooden table,"A generous stack of succulently grilled ribs, mouth-wateringly glazed and served on a rustic wooden table, evoking an atmosphere of homely comfort and hearty indulgence. The smoky allure of the charred exterior perfectly complements the tender,"
test_006349.jpg,a box of colorful macaros,"Savor the delight of this exquisite box filled with colorful macarons. Each piece is a mini wonderland of flavor, featuring a variety of irresistible fillings ranging from rich chocolate to tangy lemon, delicate vanilla to vibrant raspberry. The cheerful hues"
test_011729.jpg,a tray with food,"A delectably arranged food tray brimming with a variety of culinary treats. The tray showcases an assortment of delicious foods that lure the senses with their vibrant colors, appetizing aroma, and promising flavors. This assortment of delicacies not only nourishes"
test_026262.jpg,a plate with chicken and cran on it,"""A savory, tender chicken breast resting on a plate, beautifully garnished and served with a tangy cranberry sauce on the side, offering a delightful combination of sweet and savory flavors that promise to dazzle the taste buds."""
test_012425.jpg,a bowl of salad with a fork and spoon,"This vibrant, health-packed bowl showcases a cornucopia of fresh vegetables and greens, creating a colorful mosaic of nutritious goodness. Roughly chopped veggies are mixed with delicate leaves of salad greens, their colors intensifying under a light, aromatic dressing. A"
